Generated 38 records:
{ Ralgo.R.k = 4; i = 1; j = 4 }
{ Ralgo.R.k = 3; i = 4; j = 4 }
{ Ralgo.R.k = 3; i = 1; j = 4 }
{ Ralgo.R.k = 2; i = 4; j = 3 }
{ Ralgo.R.k = 2; i = 4; j = 4 }
{ Ralgo.R.k = 2; i = 3; j = 3 }
{ Ralgo.R.k = 2; i = 3; j = 4 }
{ Ralgo.R.k = 2; i = 1; j = 3 }
{ Ralgo.R.k = 2; i = 1; j = 4 }
{ Ralgo.R.k = 1; i = 4; j = 2 }
{ Ralgo.R.k = 1; i = 4; j = 3 }
{ Ralgo.R.k = 1; i = 4; j = 4 }
{ Ralgo.R.k = 1; i = 3; j = 2 }
{ Ralgo.R.k = 1; i = 3; j = 3 }
{ Ralgo.R.k = 1; i = 3; j = 4 }
{ Ralgo.R.k = 1; i = 2; j = 2 }
{ Ralgo.R.k = 1; i = 2; j = 3 }
{ Ralgo.R.k = 1; i = 2; j = 4 }
{ Ralgo.R.k = 1; i = 1; j = 2 }
{ Ralgo.R.k = 1; i = 1; j = 3 }
{ Ralgo.R.k = 1; i = 1; j = 4 }
{ Ralgo.R.k = 0; i = 4; j = 1 }
{ Ralgo.R.k = 0; i = 4; j = 2 }
{ Ralgo.R.k = 0; i = 4; j = 3 }
{ Ralgo.R.k = 0; i = 4; j = 4 }
{ Ralgo.R.k = 0; i = 3; j = 1 }
{ Ralgo.R.k = 0; i = 3; j = 2 }
{ Ralgo.R.k = 0; i = 3; j = 3 }
{ Ralgo.R.k = 0; i = 3; j = 4 }
{ Ralgo.R.k = 0; i = 2; j = 1 }
{ Ralgo.R.k = 0; i = 2; j = 2 }
{ Ralgo.R.k = 0; i = 2; j = 3 }
{ Ralgo.R.k = 0; i = 2; j = 4 }
{ Ralgo.R.k = 0; i = 1; j = 1 }
{ Ralgo.R.k = 0; i = 1; j = 2 }
{ Ralgo.R.k = 0; i = 1; j = 3 }
{ Ralgo.R.k = 0; i = 1; j = 4 }
